"","Target.count","Hit.count","FA.count","HR","FAR","Memorability"
"Hersheys-Kisses.jpg",43,28,9,0.651162790697674,0.209302325581395,0.441860465116279
"Baked-Potato.jpg",40,28,9,0.7,0.225,0.475
"Pretzels.jpg",40,31,9,0.775,0.225,0.55
"Raisins.jpg",50,38,7,0.76,0.14,0.62
"Pizza-restaurant.jpg",43,40,3,0.930232558139535,0.0697674418604651,0.86046511627907
"Grapes.jpg",40,33,9,0.825,0.225,0.6
"Olives-green-withpimento.jpg",41,24,8,0.585365853658537,0.195121951219512,0.390243902439024
"Eggs-hard-boiled.jpg",41,34,9,0.829268292682927,0.219512195121951,0.609756097560976
"Lollipops.jpg",44,38,6,0.863636363636364,0.136363636363636,0.727272727272727
"Melba-Toast-rye-Old-London.jpg",40,29,17,0.725,0.425,0.3
"Orange-sliced.jpg",44,32,7,0.727272727272727,0.159090909090909,0.568181818181818
"Roasted-potato.jpg",42,29,10,0.69047619047619,0.238095238095238,0.452380952380952
"Salami.jpg",40,26,7,0.65,0.175,0.475
"Pop-Tart-strawberry-frosted.jpg",42,25,9,0.595238095238095,0.214285714285714,0.380952380952381
"Potato-chips-Lays.jpg",45,33,7,0.733333333333333,0.155555555555556,0.577777777777778
"Steak-T-bone.jpg",44,34,4,0.772727272727273,0.0909090909090909,0.681818181818182
"Rigatoni-plain.jpg",42,30,8,0.714285714285714,0.19047619047619,0.523809523809524
"Raspberries.jpg",41,29,14,0.707317073170732,0.341463414634146,0.365853658536585
"Triscuit.jpg",40,26,18,0.65,0.45,0.2
"Burger-on-bun-homemade-80-lean.jpg",43,32,13,0.744186046511628,0.302325581395349,0.441860465116279
"Rigatoni-withtomato-sauce.jpg",40,30,11,0.75,0.275,0.475
"String-cheese.jpg",41,26,6,0.634146341463415,0.146341463414634,0.48780487804878
"Reeses-Pieces.jpg",43,31,12,0.720930232558139,0.27906976744186,0.441860465116279
"MM-candies.jpg",41,32,17,0.780487804878049,0.414634146341463,0.365853658536585
"Rice-Beans.jpg",44,28,9,0.636363636363636,0.204545454545455,0.431818181818182
"Tuna-white-albacore-in-water-Bumble-Bee.jpg",41,28,10,0.682926829268293,0.24390243902439,0.439024390243902
"Yogurt-pretzels.jpg",41,31,9,0.75609756097561,0.219512195121951,0.536585365853659
"Mozzarella-sticks-withmarinara-sauce.jpg",40,28,7,0.7,0.175,0.525
"Cucumber-slices.jpg",45,36,13,0.8,0.288888888888889,0.511111111111111
"Salad-Spicy-Chicken-Caesar-Wendys-no-dressing.jpg",43,22,8,0.511627906976744,0.186046511627907,0.325581395348837
"Air-popped-popcorn.jpg",41,27,15,0.658536585365854,0.365853658536585,0.292682926829268
"Bagel-plain.jpg",41,35,10,0.853658536585366,0.24390243902439,0.609756097560976
"Baby-Bell-cheese-withcrackers.jpg",41,24,9,0.585365853658537,0.219512195121951,0.365853658536585
"Broccoli-Cauliflower-raw.jpg",40,25,8,0.625,0.2,0.425
"Cantaloupe.jpg",40,29,7,0.725,0.175,0.55
"Doritos-Nacho-Cheese.jpg",42,35,9,0.833333333333333,0.214285714285714,0.619047619047619
"French-Fries.jpg",41,31,15,0.75609756097561,0.365853658536585,0.390243902439024
"Cocktail-shrimp.jpg",40,26,3,0.65,0.075,0.575
"Cupcakes-mini-frosted.jpg",43,34,5,0.790697674418605,0.116279069767442,0.674418604651163
"Granola-bar-Nature-Valley-Crunchy.jpg",42,20,8,0.476190476190476,0.19047619047619,0.285714285714286
"1-milk.jpg",41,32,17,0.780487804878049,0.414634146341463,0.365853658536585
"Chicken-noodle-soup-Campbells-Classic.jpg",42,32,10,0.761904761904762,0.238095238095238,0.523809523809524
"American-cheese.jpg",44,33,9,0.75,0.204545454545455,0.545454545454545
"Craisins-Ocean-Spray.jpg",42,36,11,0.857142857142857,0.261904761904762,0.595238095238095
"Croissant-plain.jpg",40,31,9,0.775,0.225,0.55
"Lettuce-salad.jpg",41,22,11,0.536585365853659,0.268292682926829,0.268292682926829
"Peanut-Butter-Ritz-Bits-Crackers.jpg",42,29,8,0.69047619047619,0.19047619047619,0.5
"Edamame.jpg",41,30,14,0.731707317073171,0.341463414634146,0.390243902439024
"Trail-mix.jpg",40,26,10,0.65,0.25,0.4
"Yogurt-with-granola-strawberries.jpg",41,28,13,0.682926829268293,0.317073170731707,0.365853658536585
"Choc-Chip-cookies-Entenmanns.jpg",40,24,10,0.6,0.25,0.35
"Chocolate-dark-covered-pretzels-Flipz.jpg",42,33,12,0.785714285714286,0.285714285714286,0.5
"Mac-and-cheese-Stouffers.jpg",40,28,9,0.7,0.225,0.475
"Black-Beans-with-rice.jpg",42,25,9,0.595238095238095,0.214285714285714,0.380952380952381
"Cheerios-dry.jpg",41,29,14,0.707317073170732,0.341463414634146,0.365853658536585
"Celery-Carrot-Sticks.jpg",42,33,14,0.785714285714286,0.333333333333333,0.452380952380952
"Saltine-crackers.jpg",40,24,25,0.6,0.625,-0.025
"Baguette-with-olive-oil.jpg",40,21,5,0.525,0.125,0.4
"Celery-sticks.jpg",41,33,10,0.804878048780488,0.24390243902439,0.560975609756098
"Hot-dog-on-bun-withmustard.jpg",42,30,6,0.714285714285714,0.142857142857143,0.571428571428571
"Breyers-Vanilla-Ice-cream.jpg",41,27,8,0.658536585365854,0.195121951219512,0.463414634146341
"Broccoli-raw.jpg",42,26,8,0.619047619047619,0.19047619047619,0.428571428571429
"Cherry-tomatoes.jpg",40,29,3,0.725,0.075,0.65
"Cheese-Nachos.jpg",41,35,8,0.853658536585366,0.195121951219512,0.658536585365854
"Eggs-fried.jpg",42,31,12,0.738095238095238,0.285714285714286,0.452380952380952
"Oreos.jpg",41,25,3,0.609756097560976,0.0731707317073171,0.536585365853659
"Sun-Chips.jpg",42,35,18,0.833333333333333,0.428571428571429,0.404761904761905
"Mushrooms-raw.jpg",42,24,6,0.571428571428571,0.142857142857143,0.428571428571429
